livrooms_count,district,year,level,house_levels,const_tech,area,liv_area,kitchen_area,price
3,Ленинский,1981.0,3,9,панель,63.4,38.4,9.2,9300000
0,Сормовский,2018.0,3,10,панель,17.1,12.3,1.0,3490000
3,Нижегородский,2010.0,7,10,кирпич,75.9,43.4,12.9,16900000
4,Нижегородский,2023.0,6,18,кирпич,119.0,67.0,18.8,39800000
1,Канавинский,2015.0,21,23,блок+утеплитель,45.9,17.7,11.9,9500000
2,Ленинский,1974.0,4,5,панель,50.0,34.0,6.0,6800000
1,Автозаводский,1976.0,1,9,панель,32.6,17.3,5.9,3900000
3,Сормовский,1974.0,3,9,кирпич,58.7,39.6,7.3,5400000
3,Нижегородский,2012.0,4,7,блок+утеплитель,120.0,80.0,30.0,37000000
3,Автозаводский,1979.0,8,14,кирпич,70.7,41.9,7.7,7850000
3,Автозаводский,1995.0,3,9,панель,62.8,38.2,9.2,8700000
2,Советский,1958.0,2,2,кирпич,36.4,27.4,5.1,4888888
4,Сормовский,1973.0,1,5,панель,58.7,42.1,6.0,8300000
3,Автозаводский,1958.0,1,5,кирпич,79.8,50.4,14.0,10999000
2,Московский,1952.0,2,5,кирпич,47.2,37.4,7.9,5850000
0,Советский,2023.0,7,11,блок+утеплитель,24.0,15.0,1.0,5400000
3,Нижегородский,2023.0,5,10,блок+утеплитель,84.8,51.06,14.56,14800000
2,Автозаводский,1941.0,2,5,кирпич,65.4,35.0,15.4,8600000
