Дата,Кол-во комнат,Адрес,Год постройки,Этаж,Площадь (кв.м),Цена,Unnamed: 7
14.04,2-комнатная квартира,"Сормовский районпросп. Союзный, д. 1а Информация о доме",2008.0,"2 / 10 эт., кирпич","63 / 31,2 / 9,5",11 500 000 руб.182 540 руб./м²от 136 544 руб./мес.,
14.04,4-комнатная квартира,Канавинский районул. Вязниковская,2025.0,"4 / 10 эт., панель",93 / 52 / 11,9 900 000 руб.106 452 руб./м²от 117 546 руб./мес.,
,,,,,,,
14.04,3-комнатная квартира,"Нижегородский районул. Ульянова, д. 45б Информация о доме",1964.0,"2 / 5 эт., кирпич","41,2 / 33,5 / 5хрущ.",6 500 000 руб.157 767 руб./м²от 77 177 руб./мес.,
14.04,1-комнатная квартира,"Нижегородский районул. Родионова, д. 184 Информация о доме",1985.0,"5 / 9 эт., кирпич","30,4 / 17 / 6",6 250 000 руб.205 592 руб./м²от 74 209 руб./мес.,
14.04,3-комнатная квартира,"Советский районул. Невзоровых, д. 31 Информация о доме",1934.0,"1 / 3 эт., кирпич","57 / 38,5 / 8стал.",7 200 000 руб.126 316 руб./м²от 85 488 руб./мес.,
14.04,3-комнатная квартира,"Сормовский районул. Василия Иванова, д. 55 Информация о доме",1961.0,"3 / 4 эт., кирпич","55,2 / 41 / 5,6хрущ.",5 100 000 руб.92 391 руб./м²от 60 554 руб./мес.,
14.04,2-комнатная квартира,Канавинский районул. Вязниковская,2025.0,"3 / 9 эт., панель",58 / 31 / 11,6 270 000 руб.108 103 руб./м²от 74 446 руб./мес.,
14.04,2-комнатная квартира,"Канавинский районул. Вязниковская, 6",2025.0,"2 / 10 эт., блок+утеплитель",56 / 33 / 9,6 300 000 руб.112 500 руб./м²от 74 802 руб./мес.,
14.04,2-комнатная квартира,"Новинский сельсовет ЖК Новинки Smart Cityул. 2-я Дорожная, д. 3 Информация о доме",2023.0,"8 / 8 эт., блок+утеплитель",48 / 30 / 14,7 000 000 руб.145 833 руб./м²от 83 114 руб./мес.,
,,,,,,,
14.04,3-комнатная квартира,"Московский районул. Буревестника, д. 17 Информация о доме",1978.0,"7 / 9 эт., панель","57,4 / 38,4 / 9",8 300 000 руб.144 599 руб./м²от 98 549 руб./мес.,
14.04,3-комнатная квартира,"Канавинский район ЖК Новый Городул. Вязниковская, д. 39 Информация о доме",2023.0,"3 / 9 эт., панель",73 / 39 / 11,9 500 000 руб.130 137 руб./м²от 112 797 руб./мес.,
14.04,3-комнатная квартира,Канавинский районул. Вязниковская,2025.0,"8 / 10 эт., панель",73 / 45 / 11,7 800 000 руб.106 849 руб./м²от 92 612 руб./мес.,
14.04,3-комнатная квартира,"Сормовский районул. Федосеенко, д. 27 Информация о доме",1968.0,"5 / 5 эт., кирпич","51 / 35 / 5,1хрущ.",4 850 000 руб.95 098 руб./м²от 57 586 руб./мес.,
14.04,1-комнатная квартира,"Приокский район ЖК Цветыул. Первоцветная, д. 8 Информация о доме",2016.0,"14 / 17 эт., блок+утеплитель","44,9 / 18,9 / 10",7 500 000 руб.167 038 руб./м²от 89 050 руб./мес.,
