livrooms_count,district,year,level,house_levels,const_tech,area,liv_area,kitchen_area,price,log_price
4,Автозаводский,1973.0,5,5,панель,60.0,35.0,6.0,6000000,15.60727002719233
3,Ленинский,1969.0,1,5,панель,56.8,42.3,5.8,5500000,15.520258650202699
2,Автозаводский,1989.0,6,10,панель,51.8,30.0,9.0,6700000,15.717618084361195
3,Автозаводский,2019.0,3,10,панель,56.0,36.0,9.0,8150000,15.913528485217045
2,Автозаводский,1965.0,5,5,панель,43.0,28.3,5.5,4600000,15.341566861459324
5,Автозаводский,1941.0,4,5,кирпич,118.7,78.5,16.0,17000000,16.64872390202049
3,Ленинский,1965.0,5,5,панель,56.8,39.4,5.4,5300000,15.483217378522351
2,Автозаводский,1959.0,2,2,шлакоблок,37.2,26.1,4.6,3100000,14.946912669455374
1,Советский,1959.0,1,2,шлакоблок,30.0,17.0,5.0,4100000,15.226497531674536
2,Советский,2024.0,5,10,блок+утеплитель,54.5,24.8,15.4,9180000,16.03253776259667
2,Автозаводский,1973.0,4,5,кирпич,44.4,29.5,6.0,4700000,15.363073066680286
2,Автозаводский,1968.0,3,5,панель,42.6,28.0,5.5,5000000,15.424948470398375
3,Автозаводский,1988.0,17,18,монолитный железобетон,72.0,43.0,11.0,10799000,16.194964095214896
2,Приокский,2024.0,15,16,кирпич,69.0,33.0,12.0,9990000,16.117095150624735
2,Советский,1967.0,1,5,панель,44.0,32.0,6.0,5580000,15.534699334357494
2,Автозаводский,2007.0,9,17,блок+утеплитель,67.1,36.0,15.6,11500000,16.25785759333348
3,Автозаводский,1968.0,3,5,панель,59.0,45.9,6.5,5900000,15.590462908875947
2,Автозаводский,1968.0,3,5,панель,44.0,27.0,6.0,4690000,15.360943140422462
1,Сормовский,1993.0,3,10,кирпич,36.1,18.9,8.5,4400000,15.29711509888849
1,Автозаводский,1967.0,2,5,панель,31.0,19.0,6.0,4300000,15.27412558066379
0,Сормовский,2021.0,4,10,панель,17.2,14.0,1.0,4200000,15.250595083253597
2,Автозаводский,1955.0,1,4,кирпич,50.6,29.8,7.5,7200000,15.789591583986283
2,Автозаводский,1968.0,1,5,панель,46.5,33.4,5.5,5500000,15.520258650202699
2,Автозаводский,1975.0,1,5,панель,50.2,35.0,6.0,6500000,15.687312734865866
2,Московский,2006.0,8,10,панель,52.3,31.3,9.0,8350000,15.937772096827038
